,L1,H1,L2,H2,E:5,E:10,E:20,E:30,E:60
0,3.0,7.0,0.0,0.0,0.6548094,0.6437982,0.603863,0.5959174,0.5920575
1,3.0,11.0,0.0,0.0,0.65092456,0.6377084,0.59889245,0.5914885,0.5878794
2,3.0,15.0,0.0,0.0,0.65093136,0.6380754,0.5980708,0.59059423,0.5869881
3,5.0,7.0,0.0,0.0,0.65501606,0.6444819,0.6059196,0.5981295,0.59420824
4,5.0,11.0,0.0,0.0,0.6559783,0.6474209,0.61056256,0.60313666,0.5996157
5,5.0,15.0,0.0,0.0,0.65265214,0.640398,0.6044389,0.5967076,0.5929024
6,15.0,7.0,0.0,0.0,0.6573714,0.64930236,0.6128868,0.6056727,0.602118
7,15.0,11.0,0.0,0.0,0.6539271,0.6429707,0.6058754,0.59826744,0.5941528
8,15.0,15.0,0.0,0.0,0.65402114,0.64412916,0.6075997,0.6003714,0.5969868
9,25.0,7.0,0.0,0.0,0.6586287,0.651441,0.6159276,0.60941267,0.6057929
10,25.0,11.0,0.0,0.0,0.65506816,0.6463634,0.6118225,0.60524464,0.60177463
11,25.0,15.0,0.0,0.0,0.6538701,0.64275455,0.60806453,0.6010382,0.59768057
12,75.0,7.0,0.0,0.0,0.6618151,0.65716803,0.6273579,0.6208273,0.61811805
13,75.0,11.0,0.0,0.0,0.65669847,0.65098405,0.6200806,0.6134932,0.6104392
14,75.0,15.0,0.0,0.0,0.65498894,0.64677674,0.61405295,0.607537,0.60422754
15,0.0,0.0,4.0,7.0,0.65703565,0.6521414,0.61992055,0.6139741,0.61023855
16,0.0,0.0,4.0,11.0,0.64909226,0.63631976,0.6004125,0.59340143,0.5890386
17,0.0,0.0,4.0,15.0,0.6477686,0.6358198,0.6005165,0.5924587,0.58930755
18,0.0,0.0,5.0,7.0,0.65933514,0.6575154,0.63065374,0.6219959,0.61899054
19,0.0,0.0,5.0,11.0,0.65337586,0.64597917,0.6148888,0.60654604,0.6027559
20,0.0,0.0,5.0,15.0,0.6488991,0.63735926,0.60131836,0.59422857,0.5904754
21,0.0,0.0,8.0,7.0,0.6526965,0.6446787,0.6122085,0.6049403,0.60422206
22,0.0,0.0,8.0,11.0,0.64559245,0.6333333,0.59747183,0.5909625,0.58668983
23,0.0,0.0,25.0,5.0,0.6659519,0.67496526,0.65338063,0.6505846,0.646648
24,0.0,0.0,64.0,5.0,0.6674124,0.67080384,0.64706665,0.6423018,0.6417227
25,0.0,0.0,80.0,7.0,0.66042745,0.6543383,0.6239648,0.6188066,0.615532
26,0.0,0.0,80.0,11.0,0.648741,0.6370582,0.6030922,0.59696436,0.5940232
27,0.0,0.0,80.0,15.0,0.6438039,0.63014054,0.5954335,0.58959913,0.5864843
28,0.0,0.0,100.0,7.0,0.6599956,0.65546,0.6259481,0.62044704,0.6183958
29,0.0,0.0,100.0,11.0,0.64953804,0.6385213,0.6050658,0.59920883,0.59607565
30,0.0,0.0,100.0,15.0,0.6424626,0.627859,0.59227014,0.5857794,0.582553
31,0.0,0.0,160.0,7.0,0.66578484,0.6652154,0.63856864,0.6345135,0.6331834
32,0.0,0.0,160.0,11.0,0.6473176,0.63527083,0.6026031,0.59688175,0.59448564
33,0.0,0.0,160.0,15.0,0.64032865,0.62510526,0.58942467,0.58317167,0.5800072
34,0.0,0.0,200.0,7.0,0.6674305,0.66984636,0.6444348,0.63933134,0.63635606
35,0.0,0.0,200.0,11.0,0.6492371,0.63794005,0.6050987,0.5989004,0.59639776
36,0.0,0.0,200.0,15.0,0.6403792,0.625087,0.58966935,0.58295536,0.57987547
37,0.0,0.0,320.0,7.0,0.66775346,0.6684805,0.6469885,0.643595,0.64070094
38,0.0,0.0,320.0,11.0,0.65069056,0.6394751,0.6072161,0.6008655,0.5979622
39,0.0,0.0,320.0,15.0,0.6420429,0.62701595,0.591802,0.58549,0.58224905
40,0.0,0.0,400.0,7.0,0.6687234,0.6704942,0.64860284,0.64427066,0.64205027
41,0.0,0.0,400.0,11.0,0.65976655,0.6531048,0.622573,0.61730874,0.6153245
42,0.0,0.0,400.0,15.0,0.6453095,0.63129866,0.5962388,0.59020174,0.587295
43,0.0,0.0,800.0,7.0,0.66984916,0.6725131,0.64971364,0.645898,0.64403784
44,0.0,0.0,800.0,11.0,0.6516659,0.6415913,0.6080742,0.60271883,0.59976923
45,0.0,0.0,800.0,15.0,0.6455275,0.630853,0.5964521,0.59018755,0.5873748
46,3.0,4.0,4.0,10.0,0.6692814,0.6701746,0.64160156,0.6349921,0.6318382
47,3.0,4.0,5.0,6.0,0.67465556,0.6772878,0.64887583,0.6427505,0.6408392
48,3.0,4.0,5.0,14.0,0.66607344,0.66265655,0.62697995,0.62106293,0.61791766
49,3.0,4.0,8.0,10.0,0.66315335,0.6578165,0.6261344,0.61939657,0.6155679
